,Name,Estimate_Score
74,Prime Suspect 1,4.093884628302967
75,The Lion King: Special Edition,4.088072183876012
76,I Love Lucy: Season 4,4.086249330717384
77,Alien: Collector's Edition,4.083440119677626
78,If These Walls Could Talk,4.0821508866921015
79,Larry the Cable Guy: Git-R-Done,4.081752640757944
80,The Princess Diaries (Fullscreen),4.079903360368121
81,The Twilight Zone: Vol. 37,4.077952747874434
82,The X-Files: Season 9,4.075084705490447
83,Inu-Yasha,4.0743176202722875
84,The Golden Girls: Season 1,4.069113114459875
85,The Twilight Zone: Vol. 3,4.0690711227285306
86,Stargate SG-1: Season 8,4.06826322945495
87,Chobits,4.0643625307863855
88,Lilies of the Field,4.064292129084385
89,Singin' in the Rain,4.063017558724518
90,The Twilight Zone: Vol. 36,4.062201970664512
91,Bringing Up Baby,4.061921557713562
92,The Land Before Time VII: Stone of Cold Fire,4.060105353908204
93,From the Earth to the Moon: The Signature Edition,4.057672004788617
94,Sense and Sensibility,4.0543071541878355
95,Wonderfalls: The Complete Series,4.054105222805993
96,The King of Queens: Season 2,4.053456792439194
97,Secondhand Lions,4.052743817072444
98,Six Degrees of Separation,4.050427699311536
99,Futurama: Vol. 1,4.049761737941942
100,Princess Mononoke,4.047857851023721
101,The Secret Garden,4.04750158362144
102,28 Up,4.0462924312820885
103,In Living Color: Season 2,4.045654605129584
104,The Man Who Knew Too Much,4.044051038204434
105,To Catch a Thief,4.043687188977061
106,The Sting,4.040934672696516
107,Friends: Season 2,4.0383361356264516
108,Star Trek: The Next Generation: Season 6,4.03262566270217
109,Charade,4.032085071135858
110,Chocolat,4.029402197041452
111,Coach Carter,4.0274514135844335
112,The Wire: Season 1,4.027043509148043
113,VeggieTales: Madame Blueberry,4.025728464568627
114,The Mark of Zorro,4.024766056819141
115,Winnie the Pooh: Springtime with Roo,4.023460194721965
116,Mississippi Burning,4.021746121710873
117,George Carlin: Complaints and Grievances,4.020001691120395
118,Transformers: Season 3: Part 1,4.019634591346964
119,Shall We Dance?,4.018480174873731
120,Star Trek: Enterprise: Season 3,4.018250087960206
121,Together,4.012401709554236
122,Modern Times,4.011374899890366
123,Little House on the Prairie: Season 6,4.01062349189529
124,The Trip,4.010526093314178
125,Sleeping Beauty: Special Edition,4.009039708673842
126,A Fistful of Dollars,4.008030075078433
127,The Shop Around the Corner,4.007994446634163
128,The Hustler,4.0013195227281795
129,Dial M for Murder,4.000382348937795
130,The Motorcycle Diaries,4.000226353276607
131,Outfoxed: Rupert Murdoch's War on Journalism,4.00012984958165
132,Law & Order: Special Victims Unit: The Second Year,3.9999035369970746
133,The Twilight Zone: Vol. 33,3.999203769605765
134,Finding Neverland,3.9967581551834215
135,Soul Food: Season 1,3.993098580742089
136,Without a Trace: Season 1,3.9927418316509513
137,Wallace & Gromit in Three Amazing Adventures,3.99224975112167
138,Hoop Dreams,3.9914135685908323
139,A Night at the Opera,3.991187103127524
140,Rudolph the Red-Nosed Reindeer,3.989245481704002
141,Homicide: Life on the Street: Season 7,3.9856524066829566
142,Hellfighters,3.9835377271338808
143,A Christmas Carol,3.983312413325084
144,Star Trek: Voyager: Season 1,3.9820851165209303
145,Gargoyles: Season 1,3.9777806963016964
146,Like Water for Chocolate,3.973946422364648
147,Fried Green Tomatoes,3.9736740403656743
148,Samurai Jack: Season 2,3.9731241313891315
149,The Maltese Falcon,3.97305831436391
150,The Gnome-Mobile,3.9702617330738676
151,Roswell: Season 2,3.9689799748184345
152,Indiscreet,3.968470611346499
153,Scooby-Doo and the Monster of Mexico,3.9641695830093506
154,Il Postino,3.9629718009653834
155,Sixteen Candles,3.962176637197904
156,George Carlin: Carlin at Carnegie,3.9619233734055572
157,Coupling: Season 1,3.9603121961542866
158,The Sandlot,3.9593718360711625
159,Casino: 10th Anniversary Edition,3.958202535390167
160,Sliders: Season 3,3.9580893652438096
161,Ghost in the Shell,3.957933259045731
162,The Cutting Edge,3.957042835686671
163,Wish Upon a Star,3.955210173566166
164,A Beautiful Mind,3.9541259386121292
165,When Harry Met Sally,3.95199565664347
166,American Beauty,3.9493913005253507
167,Man on Fire,3.9487402064437584
168,Monty Python's The Meaning of Life: Special Edition,3.947531494692459
169,The Song of Bernadette,3.9473375525889343
170,The Looney Tunes Golden Collection: Vol. 1,3.946112391729966
171,The Caine Mutiny,3.9423149218823315
172,Jaws,3.9414043517627646
173,The Jewel in the Crown,3.9390754684849334
174,Stargate,3.9373915668331647
175,Midsomer Murders: Blood Will Out,3.9368390157185873
176,Jimi Hendrix: Live at the Fillmore East,3.9367533065296367
177,Stargate SG-1: Season 3,3.936482921762469
178,Queer as Folk: Season 1,3.935503946067858
179,Ever After: A Cinderella Story,3.932812332597265
180,Christmas with The Simpsons,3.9319098687671064
181,First Kid,3.931152691801448
182,The Three Musketeers,3.931032073283083
183,Yojimbo,3.9306054288334646
184,The Day of the Jackal,3.9305111683539793
185,Babylon 5: The River of Souls,3.9296116205399754
186,Goldfinger,3.9288697685935614
187,Keen Eddie: The Complete Series,3.928051972050101
188,The Twilight Zone: Vol. 41,3.927804172560265
189,The Cowboys,3.9277122813560723
190,War Games,3.9274565404951574
191,Lethal Weapon 3,3.927436641255085
192,Lonesome Dove,3.9270468589518597
193,Dear Frankie,3.9269136331351207
194,The Little Princess,3.924045867926434
195,As Time Goes By: Series 1 and 2,3.924039915543493
196,Radio Flyer,3.924004136553022
197,The Quiet Man,3.923272785171188
198,Life as a House,3.9224432143469095
199,Pelle the Conqueror,3.921825613068902
200,The Emperor's New Groove,3.9213627613540774
201,Pee-Wee's Playhouse: Vol. 1,3.921100408224566
202,Norah Jones: Live in New Orleans,3.920414760265387
203,Lethal Weapon,3.9198593453286676
204,Elfen Lied,3.9163773230741814
205,Bjork: Cambridge,3.915913505841221
206,Whale Rider,3.9155332828358227
207,Tenchi Muyo,3.9154272517306814
208,Reno 911: Season 2,3.914947373710665
209,Charlotte's Web,3.9146594898670304
210,Reservoir Dogs,3.914551121088592
211,The King and I,3.913216418574496
212,Better Off Dead,3.912878615976293
213,The Professional,3.9125307864997283
214,Cadfael: Monk's Hood,3.9121400226345573
215,Star Trek: The Next Generation: Season 7,3.91026434083659
216,Bagdad Cafe,3.9075143491379962
217,Outrageous Fortune,3.907306916637246
218,Rudy,3.9069847027421596
219,The Magdalene Sisters,3.9066379554855795
220,Monsoon Wedding,3.9066306668504054
221,Amores Perros,3.9038361604031393
222,X2: X-Men United,3.9036988094520315
223,La Femme Nikita: Season 3,3.902896044570375
224,The Ghost and Mr. Chicken / The Reluctant Astronaut: Double Feature,3.8976387558286456
225,Beautiful Thing,3.8973689268671112
226,Little House on the Prairie: Season 3,3.8967661424319773
227,Futurama: Monster Robot Maniac Fun Collection,3.895896813139761
228,The Adventures of Pete & Pete: Season 1,3.8958895205091584
229,I Love Lucy: Season 2,3.8953735434640313
230,The Battle of Algiers,3.8950887887871968
231,Boyz N the Hood,3.8942075640969263
232,Bill Cosby: Himself,3.8935384452478305
233,Where the Red Fern Grows,3.8922667614309163
234,Hard Boiled,3.8922291316303763
235,Escaflowne: The Movie,3.8915020843952424
236,Sea of Love,3.8913939484775213
237,City Lights,3.891276169990582
238,Titanic,3.891272902572516
239,The Third Man,3.890636810270265
240,Poirot: The Murder of Roger Ackroyd,3.888433322987269
241,The Seventh Seal,3.887920591225764
242,Funny Face,3.886817575315627
243,Hercules,3.8866643777713445
244,King of the Hill: Season 4,3.884102215133641
245,The Twilight Zone: Vol. 15,3.884079064885519
246,Riding Giants,3.8839362608480617
247,The Incredibly True Adventure of 2 Girls in Love,3.882790799999009
248,The Bourne Supremacy,3.881467794083154
249,My Family,3.8810353653362903
250,Seven Brides for Seven Brothers: 50th Anniversary Edition,3.8808235317349333
251,VeggieTales: Dave and the Giant Pickle,3.8796569454194905
252,Mystery Science Theater 3000: Santa Claus Conquers the Martians,3.8786383420678816
253,Davy Crockett: 50th Anniversary Double Feature,3.878490554720999
254,The Odd Couple,3.876893815210547
255,Lilo and Stitch,3.875383595347114
256,Samurai Trilogy 3: Duel at Ganryu Island,3.875159912958937
257,FLCL,3.874610939648889
258,Splendor in the Grass,3.8739065424330508
259,Rabbit-Proof Fence,3.873329503153516
260,A Piece of the Action,3.8731888490448236
261,Animal Crackers,3.8717580234842432
262,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,3.870080215095045
263,Bear Cub,3.86967769526789
264,King of the Hill: Season 1,3.8690478988166745
265,The Twilight Zone: Vol. 19,3.8689676176983245
266,The Twilight Samurai,3.8688298581457423
267,The Game,3.867658526557042
268,My Dinner with Andre,3.867505166313575
269,Beverly Hills Cop,3.866865149612238
270,The Agronomist,3.8650367726812993
271,P.D. James: Cover Her Face,3.8649799644834344
272,The Last Samurai,3.8642274827883654
273,Clerks,3.863565211108939
274,Happy Together,3.863268548018419
275,Beast Wars Transformers: Season 1,3.8628231511419484
276,Record of Lodoss War: Chronicles of the Heroic Knight,3.8616442516755796
277,R.O.D. the TV Series,3.8616036410775365
278,George Carlin: George's Best Stuff,3.860056521291965
279,The Comancheros,3.8591647473626796
280,Life and Debt,3.8588247424742095
281,I'm Not Scared,3.858804963710508
282,The Three Stooges: Three Smart Saps,3.858649912278478
283,An Officer and a Gentleman,3.8581689468456966
284,The Stars of Star Wars,3.8581623642768057
285,Immortal Beloved,3.8580730420534532
286,Torch Song Trilogy,3.857400013414709
287,Sherlock Holmes and the Spider Woman,3.8572998476573788
288,Gidget,3.857156979599036
289,Magnum P.I.: Season 2,3.8569655551068056
290,The Original Latin Kings of Comedy,3.8559890534657133
291,Murder on the Orient Express,3.8554937030475402
292,Annie,3.854517150979489
293,Unleashed,3.853672297853329
294,My Favorite Wife,3.853413455383034
295,The Stand,3.8515391210237433
296,Sunday in the Park with George,3.8513305914846785
297,Dr. Seuss: Green Eggs and Ham and Other Favorites,3.8510480463155976
298,Longitude,3.8507816543589666
299,Sharpe 9: Sharpe's Regiment,3.8506189815996574
300,Interstella 5555 (Daft Punk),3.850131878482164
301,The Life of Birds,3.8491897163428415
302,The Best of Abbott & Costello: Vol. 1,3.8491231150793546
303,Elizabeth,3.8488699681579854
304,The Blue Angel,3.8481646061185457
305,Elvis by the Presleys,3.847908691852441
306,Soft Skin,3.8475266638533863
307,Network,3.8469818892487266
308,Pete's Dragon,3.846083524997005
309,Halloweentown High,3.8459707455411927
310,VeggieTales: The Ballad of Little Joe,3.8456555160134442
311,The Tuskegee Airmen,3.8456102201891116
312,Latham Entertainment Presents: An All New Comedy Experience,3.8452489117350255
313,Sharpe 8: Sharpe's Sword,3.843619066267448
314,Hondo,3.8430427760633687
315,Fire in the Sky,3.843007330568422
316,Yi Yi,3.8422864513567547
317,Bend It Like Beckham,3.8399901466922057
318,Herbie Rides Again,3.8397394824762134
319,A Hard Day's Night: Collector's Series,3.839038137581845
320,The Twilight Zone: Vol. 27,3.8389556550482804
321,The Desert Fox,3.8381860499256275
322,Heathers,3.838056354112452
323,Inu-Yasha: The Movie 3: Swords of an Honorable Ruler,3.8372102815385585
324,Burnt by the Sun,3.8364952579444154
325,The Life of Mammals,3.836361972464089
326,Major League Baseball: Memorable Moments,3.836277001371564
327,The Flaming Lips: The Fearless Freaks,3.8361559499313067
328,Murphy's Romance,3.8360221269985457
329,Charlie the Lonesome Cougar,3.835555551488906
330,Richard Pryor: Live on the Sunset Strip,3.834769393015235
331,Ed Sullivan: Rock 'n' Roll Revolution,3.8345714821852748
332,Diff'rent Strokes: Season 1,3.8326040586653796
333,Jane Eyre,3.8320741257349797
334,Viva La Bam: Season 1,3.8314124815801978
335,The Commitments,3.831404562213836
336,Super Size Me,3.8309323718896646
337,Blue Seed: Beyond,3.829402144714352
338,I Love Lucy: Season 5,3.8286666862418564
339,For Your Eyes Only,3.828237391257246
340,Nick Knight,3.82794583367549
341,Trigun,3.827789568982126
342,Notorious,3.8269526185067875
343,Ballykissangel: Series 2,3.826586304254613
344,Cracker: Series 2,3.8251046887953306
345,Mail Call: The Best of Season 1,3.8249694949830966
346,Kill Bill: Vol. 2,3.8248241655555217
347,Road to Perdition,3.8244094333278165
348,The L Word: Season 2,3.8243421462842693
349,Tales of the City,3.8242669359976973
350,Ansel Adams: American Experience,3.8238271611303425
351,Godzilla vs. Gigan,3.8236539800469913
352,Agatha Christie's Marple: Series 1,3.823571313379977
353,Walkabout,3.8234294973168836
354,Paper Moon,3.823303552950471
355,American Adobo,3.823013251979836
356,Rose Red,3.822714006888323
357,Warren Miller's: The Power of Snow: Cold Fusion,3.821951567895926
358,Saboteur,3.8216373760197575
359,Frank Lloyd Wright,3.821265430002213
360,Saturday Night Live: The Best of Eddie Murphy,3.820704491174461
361,Neon Genesis Evangelion: The End of Evangelion,3.8206552801508296
362,Million Dollar Baby: Bonus Material,3.820486929390558
363,Battleship Potemkin,3.8203661049962334
364,Ronin Warriors: Collection,3.8196933189477513
365,The Flintstones: Season 3,3.8192375893739343
366,A Lesson Before Dying,3.8190940564852456
367,Highlander: Season 5,3.818879425266439
368,How Green Was My Valley,3.81708596704112
369,High and Low,3.8170749889181033
370,Buffalo '66,3.817053194834187
371,That '70s Show: Season 1,3.816622679444655
372,Xena: Warrior Princess: Season 6,3.81648750450707
373,Yellow Submarine,3.814952645396385
374,Cadfael: The Virgin in the Ice,3.814870255393814
375,Spies,3.814742926723113
376,Eat Drink Man Woman,3.8136980481122698
377,Bill Maher: Be More Cynical,3.8130140765892584
378,This Is Spinal Tap,3.8121485378204163
379,A Little Princess,3.8116098086044152
380,Rush: Rush in Rio,3.811475194383906
381,Captain Pantoja and the Special Services,3.811384675706065
382,Cry Freedom,3.811251217623198
383,Sleepless in Seattle,3.811188496495364
384,Mystery Science Theater 3000: Red Zone Cuba,3.8109803366645716
385,Samurai Champloo,3.8102113499588848
386,Walking with Prehistoric Beasts,3.810008698610729
387,The Mighty,3.8098068446451263
388,From Mao to Mozart: Isaac Stern in China,3.809779175367178
389,Scarface: 20th Anniversary Edition: Bonus Material,3.807362778119179
390,Marathon Man,3.8069205714220025
391,Nosferatu: Original Version,3.8068266391338366
392,Brassed Off,3.8053414584227174
393,Crossroads,3.80513781899858
394,The Fighting Seabees,3.804747116176176
395,The Indiana Jones Trilogy: Bonus Material,3.8042327382909873
396,The Ghost and Mrs. Muir,3.8039798623040895
397,Red Dwarf: Series 3,3.8034364507603415
398,Gentlemen Prefer Blondes,3.8032933674414577
399,Girls Just Want to Have Fun,3.8027001267611378
400,Army of Darkness,3.8026081792724877
401,The Return of Martin Guerre,3.8024307613416948
402,Santana: Supernatural Live,3.8018471110424152
403,Crash Dive,3.801819566668488
404,Ratcatcher,3.8004718490622715
405,Teen Titans: Season 1,3.8004578842607724
406,Bear in the Big Blue House: Heroes of Woodland Valley,3.8000802610453084
407,Star Trek: Enterprise: Season 1,3.799196152661328
408,Little House on the Prairie: I'll Be Waving as You Drive Away,3.798451980240332
409,Lewis and Clark: Great Journey West: Special Edition (Standard Version),3.798123604982418
410,Center Stage,3.797731326676271
411,The Monkees: Season 2,3.7972729836859447
412,Eloise at the Plaza,3.7971698148113857
413,The American President,3.7968960193265047
414,Roger & Me,3.796602614172232
415,Fallen,3.7958043415368707
416,Sharpe 5: Sharpe's Honour,3.7957270205938904
417,The Thin Man Goes Home,3.79561797918983
418,Nuremberg,3.795571007120571
419,Robin Hood: Prince of Thieves,3.7941816495230367
420,Founding Fathers: The Men who Shaped Our Nation,3.7937480108069956
421,That Darn Cat,3.7929292344921604
422,Marty,3.792495405711391
423,The Horse Soldiers,3.792458571926772
424,A Streetcar Named Desire,3.792451209346862
425,Evelyn,3.7924412608081335
426,Dragon Ball: Piccolo Jr. Saga: Part 1,3.7919859378637764
427,The Andy Griffith Show: Vol 4: The Mountain Wedding / Opie and the Spoiled Child,3.791029564376244
428,Aparajito,3.790881410103872
429,Rififi,3.790669936922156
430,I'll Be There,3.7892933937837605
431,The Best of Designing Women,3.7890286935330795
432,Half Baked,3.7887344965824292
433,The Big Blue,3.7886378193473127
434,Le Cercle Rouge,3.788585949430395
435,Matewan,3.7883133812257506
436,Red Dwarf: Series 2: Bonus Material,3.7880337384154332
437,The Laramie Project,3.786962805495016
438,Casablanca: Bonus Material,3.7869038890326436
439,Bowling for Columbine,3.7866550147003637
440,Most Wanted,3.7859454678448303
441,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,3.785685933783984
442,To Have and Have Not,3.785603136790731
443,Grumpy Old Men,3.784345987330963
444,The Incredibles: Bonus Material,3.7842111119615094
445,Trainspotting,3.783660139976934
446,Charly,3.782943569108647
447,Escape from Alcatraz,3.782595596754871
448,Frida,3.7823448686588343
449,Sharpe 4: Sharpe's Enemy,3.7822021716175027
450,Doctor Zhivago,3.7809337214625267
451,The Legend,3.780847658735263
452,The Italian Job,3.7804814628712426
453,The Lost Prince,3.780125931760762
454,Yu Yu Hakusho,3.7800104265103536
455,Scratch,3.779617390586256
456,Boz Scaggs: Greatest Hits Live,3.7792019713636384
457,Treading Water,3.778856387482062
458,Blue Submarine 6,3.7786148647840823
459,The Enforcer,3.778442612200321
460,Spencer's Mountain,3.777593973901617
461,Twin Dragons,3.7775799015057743
462,No Way Out,3.7775734715553977
463,Silent Rage,3.777544703968569
464,The Inspector Lynley Mysteries: A Suitable Vengeance,3.777509704924048
465,Doctor Who: Lost in Time: The Patrick Troughton Years,3.7774443873609744
466,The Incredible Hulk: The TV Series Ultimate Collection,3.7772193459815155
467,The Scent of Green Papaya,3.7771048934184814
468,Voices of Iraq,3.776842006874034
469,George Carlin: What Am I Doing in New Jersey?,3.775620397579381
470,Saturday Night Live: The Best of Will Ferrell 2,3.7755178078842677
471,The Way We Were,3.775444746595917
472,The Wind and the Lion,3.775400508310006
473,Flight of the Navigator,3.7753680101735316
474,Walking with Dinosaurs,3.7753532903146696
475,House of Cards Trilogy II: To Play the King,3.7750734672410684
476,The Last Metro,3.7745544140368605
477,Scrooge,3.7745119767209454
478,WWE: Survivor Series 2004,3.774167051220021
479,Kind Hearts and Coronets,3.7739826560947187
480,Star Trek: Deep Space Nine: Season 5,3.7739804465477587
481,Muppets From Space,3.7733089860224545
482,The Full Monty,3.7730420682169568
483,The Outsiders: The Complete Novel (Extended Edition),3.7726002414499757
484,Uncovered: The Whole Truth About the Iraq War,3.7721469727114654
485,The Lady Eve,3.7720740650551607
486,MI-5: Vol. 2,3.7718067582813366
487,Garfield and Friends: Vol. 2,3.7712915369684996
488,Indochine,3.7709457943672327
489,Newsies,3.7708451989322964
490,The Closet,3.77019230583273
491,Come and See,3.770047492928389
492,Horse Crazy,3.7699799276760153
493,The Leopard (Original Italian Version),3.7697602618120327
494,L'Eclisse,3.7696589104959677
495,Three Days of the Condor,3.7690096785442546
496,Matilda: Special Edition,3.768074852791587
497,NYPD Blue: Season 2,3.767360103167454
498,Starman,3.7671059216238496
499,The Browning Version,3.76599611821498
500,SpongeBob SquarePants: Season 3,3.765803569309422
501,Saturday Night Live: The Best of Gilda Radner,3.7651153758673694
502,Burn Up Excess: Vol. 1: To Serve and Protect,3.7644073351573986
503,City of Industry,3.764316989841716
504,Supercop 2,3.764287385569269
505,Presumed Innocent,3.7641836198829424
506,Ghosts of Rwanda: Frontline,3.763025387946975
507,Monarch of the Glen: Series 2,3.761418572247757
508,Cats Don't Dance,3.761190911429578
509,Organizing from the Inside Out with Julie Morgenstern,3.7606756725259647
510,Back to the Future Part III,3.7593968742178077
511,Death in Venice,3.7589257022381637
512,PCU,3.7587783089403404
513,Jimmy Neutron: Attack of the Twonkies,3.7586299145237554
514,Parenthood,3.7586248304625256
515,The Inspector Lynley Mysteries: For the Sake of Elena,3.758194525694685
516,High Fidelity,3.7581469542682258
517,Saajan,3.7580241807401937
518,Beauty and the Beast,3.757949073383891
519,Ninotchka,3.75775570553568
520,Dil Chahta Hai,3.757742599824977
521,Wings of Desire,3.757698136583577
522,The Four Seasons,3.7570796330629084
523,Michael McDonald: A Gathering of Friends,3.755696709049363
524,An Ideal Husband,3.7556763923906336
525,The Powerpuff Girls: Down 'n' Dirty,3.7553779793276267
526,The Deer Hunter,3.755020541585296
527,An Evening With Kevin Smith,3.754905133266454
528,Cloak & Dagger,3.754545384177339
529,Saving Private Ryan: Bonus Material,3.753789084436179
530,Alien Quadrilogy: Bonus Material,3.753544686531378
531,The Phantom of the Opera: Special Edition: Bonus Material,3.7534146745837074
532,Who Framed Roger Rabbit?: Special Edition,3.7533130022979067
533,National Lampoon's Vacation,3.7531371020374515
534,The BRD Trilogy: The Marriage of Maria Braun,3.752892902627109
535,Ballykissangel: Series 3,3.75282430335609
536,Tae Guk Gi: The Brotherhood of War,3.7528176499176964
537,The Twilight Zone: Vol. 25,3.752366854983891
538,Y Tu Mama Tambien,3.7521806495642105
539,Borderline,3.752027057313508
540,History of the World: Part 1,3.7513823056179976
541,Damien: Omen II,3.750968659572074
542,Sesame Street: Elmo's World: The Street We Live On,3.75084166400628
543,The Swan Princess,3.750533026127111
544,La Femme Nikita: Season 2,3.750118269612054
545,Inspector Morse 28: Twilight of the Gods,3.74992059467682
546,Substitute 4: Failure is Not an Option,3.749412552284476
547,On Golden Pond,3.7493587069610195
548,SpongeBob SquarePants: Season 2,3.749020680881338
549,Ordinary People,3.7489960000607465
550,Lone Wolf and Cub: Sword of Vengeance,3.7487639153231402
551,Giant,3.7486676509726657
552,The Einstein of Sex,3.748664387310826
553,Jammin' with the Blues Greats,3.7486255625173706
554,Jeff Foxworthy: Totally Committed,3.748609169348912
555,Regarding Henry,3.7483456066856924
556,All Creatures Great and Small: Series 5,3.7482622627380136
557,Les Miserables in Concert,3.747761484805632
558,All in the Family: Season 4,3.7473047130533357
559,The Devil and Daniel Webster,3.74714733070407
560,Talk to Her,3.7458829598032564
561,Chi-Hwa-Seon: Painted Fire,3.7457832560546582
562,All Creatures Great and Small: Series 1,3.74524271595388
563,Paula Abdul's Get Up & Dance,3.7446716526631474
564,El Padrecito,3.7442561748450243
565,The Hee Haw Collection,3.744144895514068
566,Thief,3.7441384374239846
567,Designing Woman,3.743557798550125
568,Hercules: The Legendary Journeys: Season 2,3.74346420029069
569,Ken Burns' America: Thomas Hart Benton,3.742780658419883
570,The Parent Trap,3.7422855273988396
571,Pay It Forward,3.7417140876725212
572,The Kids in the Hall: Season 1,3.7416547081461955
573,Hate.com,3.740971328296045
574,Simple Men,3.740405128759699
575,David Blaine: Fearless,3.740329549667919
576,Sherlock Holmes: The Eligible Bachelor,3.7401917504693727
577,Mutiny on the Bounty,3.7400086999293998
578,Paradise Lost 2: Revelations,3.7397154585263905
579,Sherlock Holmes: The Scarlet Claw,3.7394671081791793
580,Touched by an Angel: Season 1,3.7394373303467066
581,All in the Family: Season 3,3.7393536940932144
582,Go West,3.738993903155054
583,The Who: Live at the Isle of Wight Festival,3.7388116822852733
584,Swept from the Sea,3.7387597568403526
585,The True Story of Alexander the Great,3.7385043661111617
586,Control Room,3.7383161164455725
587,Led Zeppelin: The Song Remains the Same,3.7381086058886703
588,Saving Grace,3.7379574088950043
589,Jane Goodall's Wild Chimpanzees: IMAX,3.7372658456597856
590,To Grandmother's House We Go,3.736962584940057
591,Camille,3.7369618794124757
592,Eternal Sunshine of the Spotless Mind,3.7368356925625634
593,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,3.7367903325819545
594,Stroszek,3.73572263789945
595,GTO: Great Teacher Onizuka: Set 1,3.7353037609745656
596,Bound,3.7349417297621863
597,Joseph Campbell and The Power of Myth,3.734901447116552
598,The Hunger,3.7344988569323267
599,Diary of a Chambermaid,3.734137078130631
600,Send Me No Flowers,3.7335028255396274
601,Burn Up Excess: Vol. 2: Crimes and Missed Demeanors,3.7331897023538287
602,Pride FC: The Return of the Warriors,3.7328849749610704
603,The Duel,3.732694377861713
604,Bright Leaves,3.7325502295629818
605,Ghost,3.7325295737744684
606,Everybody Loves Raymond: Season 1,3.7325190947939433
607,U.S. Marshals,3.732330252345863
608,Clash of the Titans,3.7322160285879935
609,Beyonce: Live at Wembley,3.732165862605686
610,Superman: The Movie,3.7319151714713845
611,David Copperfield,3.73181063587076
612,Shackleton,3.7314725428814963
613,Cries and Whispers,3.731374190354923
614,At the Earth's Core,3.731211264876022
615,Children of a Lesser God,3.730852098197153
616,Road to Utopia,3.7308231977737822
617,The Battle of Algiers: Bonus Material,3.730755400699099
618,Cadfael: A Morbid Taste for Bones,3.730727444682323
